81.7591_22.6725
81.7534_22.6773
81.3031_22.8808
81.0815_22.9522
81.0461_22.9686
80.3871_22.5966
80.3603_22.6056
80.3358_22.632
79.9571_23.0807
79.9172_22.9444
79.8747_23.1084
79.8001_23.1333
79.7985_23.1376
79.587_23.1112
79.0336_23.0216
79.018_23.0299
78.5215_23.0101
78.337035_22.917125
77.93346_22.84259
77.92251_22.85966
77.80118_22.84492
77.78002_22.81335
77.77563_22.79138
77.71597_22.762901
77.68912_22.76649
77.61683_22.74172
76.99934_22.49395
76.97698_22.4912
76.97145_22.491
76.472392_22.284064
76.159307_22.240551
76.044815_22.225986
75.916342_22.194573
75.690655_22.159054
75.657663_22.169578
75.545939_22.166728
75.454249_22.153907
75.370906_22.141868
75.319384_22.137278
75.046334_22.094878
74.89028_22.079645
74.456489_22.039138
